Car Name,Price,Kms Driven,Fuel Type,Transmission,Ownership,Manufacturer,Engine,Seats,
Honda City,8.28 thousand,115062 km,,Manual,First,Honda,1500cc,7,
 toyota city ,5.45 thousand,119669 km,Diesel,Automatic,Second,Toyota,800cc,7,
Ford i20,22.25 crore,81018 km,diesel,Automatic,Third,Ford,2000cc,6,
Honda i20,31.32 thousand,109986 km,Petrol,Manual,Second,Honda,1500cc,6,
Hyundai Nexon,18.9 thousand,126887 km,Diesel,Automatic,Third,Hyundai,1500cc,7,
Toyota Swift,49.44 crore,62714 km,Petrol,Automatic,Second,Toyota,1200cc,7,
Maruti Swift,29.89 crore,66285 km,Diesel,Automatic,First,Maruti,2000cc,4,
Toyota Nexon,31.78 thousand,11176 km,Electric,AUTOMATIC,Second,Toyota,1200cc,6,
 tata i20 ,22.78 thousand,138927 km,Electric,Manual,First,Tata,800cc,7,
BMW Innova,46.37thousand,93913 km,Diesel,Automatic,First,BMW,800cc,4,
 mercedes x1 ,23.56 thousand,53034 km,Electric,Manual,First,Mercedes,800cc,4,
BMW Figo,34.92 crore,37737 km,CNG,Automatic,First,BMW,1000cc,5,
 tata c-class ,4.66 thousand,148381 km,Petrol,Automatic,Second,Tata,1200cc,6,
BMW Figo,31.55 thousand,65882 km,CNG,Automatic,Second,BMW,2000cc,7,
Maruti City,43.8 lakh,94310 km,CNG,Automatic,Third,Maruti,1200cc,4,
Mercedes C-Class,6.22 thousand,29519 km,Electric,Manual,Second,Mercedes,800cc,7,
Mercedes i20,33.56 thousand,15042 km,CNG,MANUAL,First,Mercedes,1200cc,6,
 hyundai innova ,41.12 crore,143770 km,Electric,Manual,Third,Hyundai,1000cc,6,
Hyundai Figo,10.36 thousand,117538 km,CNG,Manual,Third,Hyundai,800cc,7,
Tata X1,18.19thousand,70519 km,Diesel,Automatic,First,Tata,1500cc,7,
Honda X1,34.58 crore,128284 km,Petrol,Automatic,Second,Honda,2000cc,7,
Hyundai City,21.35 thousand,50337 km,Diesel,Automatic,Second,Hyundai,2000cc,4,
Tata Swift,7.66 lakh,132117 km,Electric,Automatic,Third,Tata,1000cc,7,
Toyota i20,11.05 lakh,117008 km,diesel,Automatic,First,Toyota,1000cc,4,
BMW Swift,43.92 crore,123186 km,Petrol,MANUAL,Second,BMW,2000cc,5,
Toyota X1,10.54 lakh,26928 km,Petrol,Automatic,Third,Toyota,800cc,4,
,16.34 lakh,58386 km,Petrol,Manual,First,Tata,1200cc,4,
Maruti Innova,31.82 crore,65567 km,Diesel,AUTOMATIC,Second,Maruti,2000cc,6,
Mercedes Innova,21.41 crore,59281 km,Electric,Automatic,First,Mercedes,1500cc,5,
Honda i20,36.77 lakh,92794 km,CNG,Automatic,Second,Honda,1200cc,6,
Ford X1,38.94 thousand,144457 km,Diesel,AUTOMATIC,First,Ford,1500cc,5,
Ford Figo,9.97lakh,24412 km,diesel,AUTOMATIC,Third,Ford,,7,
Honda City,31.96 thousand,134295 km,Petrol,Manual,Second,Honda,1000cc,6,
Hyundai City,9.17 crore,5133 km,Petrol,Automatic,Second,Hyundai,1000cc,7,
